catalyst,base,base_equivalents,temperature,residence_time,yield
tBuXPhos,DBU,2.183015499,30,328.7178016,0.042832638
tBuXPhos,BTMG,2.190881556,100,73.33119392,0.959689589
tBuXPhos,TMG,1.093138191,47.5,75.12129688,0.03157943
tBuXPhos,TMG,2.186276382,100,673.2595081,0.766767923
tBuXPhos,TEA,1.108766571,30,107.541151,0.072298979
tBuXPhos,DBU,2.183015499,100,1088.512259,1.008695766
tBuXPhos,DBU,1.097966375,100,1208.711134,1.001213765
tBuXPhos,TEA,1.108766571,65,1061.645722,0.089740381
tBuXPhos,BTMG,1.643161167,65,325.5826225,0.915446916
tBuXPhos,TEA,1.663149856,100,74.29424953,0.034514934
tBuXPhos,BTMG,2.190881556,30,1290.763827,0.854551676
tBuXPhos,BTMG,1.095440778,100,74.56626511,0.916912822
tBuXPhos,BTMG,1.095440778,30,1256.026841,0.84473371
tBuXPhos,TEA,2.217533142,65,1278.546129,0.08710315
tBuXPhos,TMG,1.647405443,30,1119.230017,0.072638336
tBuXPhos,TEA,2.217533142,30,74.04623508,0.011725954
tBuXPhos,TMG,1.093138191,100,320.1163096,0.256653561
tBuXPhos,TMG,2.186276382,65,75.66132736,0.10388346
tBuXPhos,DBU,1.097966375,100,1275.492954,1.027203182
tBuXPhos,TEA,1.108766571,100,1065.218927,0.129264495
tBuXPhos,TMG,2.186276382,100,1218.132673,0.89505248
tBuXPhos,BTMG,2.190881556,100,1250.718537,1.00429073
tBuXPhos,TMG,2.186276382,100,1290.137792,0.85725011
tBuXPhos,DBU,1.097966375,100,1427.956675,1.024671541
tBuXPhos,BTMG,1.095440778,100,1178.981434,1.006040398
tBuXPhos,TEA,1.108766571,100,1400.800121,0.121821069
tBuXPhos,BTMG,2.190881556,63.1,1163.439545,0.950525899
tBuXPhos,DBU,2.184629895,63.1,1322.174624,0.833077141
tBuXPhos,BTMG,1.577062676,100,503.9828262,0.984074395
tBuXPhos,DBU,1.538289689,100,493.4212217,0.988433341
tBuXPhos,TMG,2.064631601,100,551.7205567,0.968792781
tBuXPhos,TMG,2.187893189,100,456.4211059,0.79924163
tBuXPhos,DBU,1.098778349,100,460.2413239,0.983315174
tBuXPhos,BTMG,2.192501769,100,454.1919785,0.988162074
tBuBrettPhos,DBU,2.189443812,30,369.0701094,0.366718886
tBuBrettPhos,BTMG,2.192175707,100,74.53926325,1.031600285
tBuBrettPhos,TMG,2.186454169,100,682.1440167,0.979220428
tBuBrettPhos,DBU,2.189443812,100,1250.122503,0.991085896
tBuBrettPhos,TEA,1.142837829,30,73.84122324,0.17068468
tBuBrettPhos,DBU,1.100639322,100,1273.822858,1.023992655
tBuBrettPhos,TEA,1.142837829,65,1250.93155,0.023792026
tBuBrettPhos,DBU,1.100639322,30,357.9904757,0.51484446
tBuBrettPhos,BTMG,1.64633276,65,320.0973086,0.967285589
tBuBrettPhos,TEA,1.650765753,100,74.52026224,0.022204324
tBuBrettPhos,BTMG,1.100489813,100,75.76033354,1.010162248
tBuBrettPhos,BTMG,1.100489813,30,1292.050901,1.025097628
tBuBrettPhos,TEA,2.158693677,65,1061.794731,0.029545128
tBuBrettPhos,TMG,1.650420244,30,1271.987753,0.075288426
tBuBrettPhos,TEA,2.158693677,30,73.62221098,0.005340242
tBuBrettPhos,TMG,1.100280162,100,326.5346766,0.932317344
tBuBrettPhos,TMG,2.186454169,65,74.14924097,0.039293957
tBuBrettPhos,TEA,2.158693677,100,391.3483839,0.06609534
tBuBrettPhos,DBU,2.189443812,100,477.4873109,1.030315127
tBuBrettPhos,TMG,2.186454169,100,472.8960481,1.003367029
tBuBrettPhos,DBU,1.147978647,100,532.9614835,1.025950003
tBuBrettPhos,TMG,1.988967986,100,476.9942827,1.006211346
tBuBrettPhos,TEA,1.142837829,100,448.6906638,0.056448626
tBuBrettPhos,DBU,1.100639322,57.1,1277.329059,0.421916562
tBuBrettPhos,TMG,2.186454169,62.7,1072.451341,0.353419248
tBuBrettPhos,BTMG,1.681548434,100,386.2370915,0.99815143
tBuBrettPhos,DBU,1.550362916,100,348.0039043,1.026735464
tBuBrettPhos,TMG,1.59399562,100,416.2208061,0.924062878
AlPhos,DBU,1.091453389,30,1257.923949,0.973793101
AlPhos,TMG,1.0995902,65,75.23930359,0.208090937
AlPhos,TEA,1.115310823,65,1071.112264,0.073308686
AlPhos,BTMG,2.19414691,100,1263.449265,0.942713469
AlPhos,DBU,2.19590027,100,73.54120636,0.97934425
AlPhos,BTMG,1.101906378,30,75.11629629,0.929228974
AlPhos,TEA,2.230621646,100,319.7722898,0.232825163
AlPhos,TEA,2.230621646,30,1365.507102,0.14622501
AlPhos,DBU,2.19590027,65,1070.650238,0.986319856
AlPhos,TMG,2.1991804,30,381.7698359,0.045453974
AlPhos,TEA,1.115310823,100,75.66132784,0.056712653
AlPhos,TMG,2.1991804,65,75.43531466,0.156546245
AlPhos,DBU,1.650173576,30,89.51111984,0.567666469
AlPhos,BTMG,2.19414691,30,75.04729271,0.959137709
AlPhos,BTMG,1.101906378,100,1279.138163,0.964080978
AlPhos,TMG,1.0995902,30,327.6697416,0.063736927
AlPhos,TMG,1.641641707,100,1180.186503,0.994961147
AlPhos,DBU,1.507245156,100,1214.58247,0.996941489
AlPhos,TMG,1.626154521,100,1300.974411,0.98961563
AlPhos,BTMG,1.585198648,100,1215.877544,0.947352946
AlPhos,BTMG,1.594864494,100,1275.07693,0.971831102
AlPhos,TMG,2.1991804,30,1369.512331,0.08429262
AlPhos,DBU,1.702147547,100,1308.539844,0.994908646
AlPhos,BTMG,1.101906378,88.5,1092.52949,0.927005687
AlPhos,TMG,1.0995902,88.5,1393.362696,0.939708298
tBuXPhos,TMG,2.186276382,63.1,1242.849087,0.315366703
tBuXPhos,DBU,1.097966375,30,377.9346166,0.093450375
AlPhos,TEA,2.091207793,100,1350.932269,0.207359999
AlPhos,BTMG,1.643193721,65,341.4145279,0.945804957
tBuBrettPhos,BTMG,1.100489813,100,526.4841132,1.000808176
tBuBrettPhos,TEA,1.142837829,30,75.30730724,0.005499146
tBuBrettPhos,BTMG,2.192175707,30,1240.719965,1.019671511
AlPhos,DBU,1.091453389,100,321.2633753,0.95902087
tBuBrettPhos,TMG,1.100280162,47.5,65.77076197,0.043402107